,batchsz,lr,width,width_y,depth
0,32.0,0.01,64.0,64.0,4.0
1,128.0,0.001,128.0,128.0,4.0
2,32.0,0.01,128.0,128.0,2.0
3,32.0,0.0001,256.0,256.0,4.0
4,64.0,0.0001,256.0,256.0,4.0
5,32.0,0.0001,256.0,256.0,6.0
6,128.0,0.01,512.0,512.0,2.0
7,32.0,0.001,128.0,128.0,5.0
8,64.0,0.01,256.0,256.0,4.0
9,64.0,0.01,512.0,512.0,2.0
10,32.0,0.0001,128.0,128.0,4.0
11,64.0,0.0001,128.0,128.0,2.0
12,32.0,0.0001,256.0,256.0,3.0
13,32.0,0.01,64.0,64.0,2.0
14,32.0,0.0001,32.0,32.0,3.0
15,128.0,0.001,256.0,256.0,6.0
16,32.0,0.001,256.0,256.0,4.0
17,32.0,0.0001,128.0,128.0,2.0
18,64.0,0.001,64.0,64.0,4.0
19,128.0,0.01,128.0,128.0,3.0
20,32.0,0.001,64.0,64.0,5.0
21,32.0,0.001,64.0,64.0,5.0
22,64.0,0.01,64.0,64.0,5.0
23,64.0,0.01,32.0,32.0,2.0
24,128.0,0.001,128.0,128.0,4.0
25,64.0,0.01,128.0,128.0,5.0
26,128.0,0.0001,64.0,64.0,6.0
27,128.0,0.001,512.0,512.0,5.0
28,128.0,0.01,128.0,128.0,3.0
29,64.0,0.001,256.0,256.0,2.0
30,64.0,0.01,256.0,256.0,2.0
31,32.0,0.001,256.0,256.0,5.0
32,64.0,0.001,64.0,64.0,4.0
33,32.0,0.0001,128.0,128.0,2.0
34,32.0,0.0001,256.0,256.0,6.0
35,64.0,0.01,32.0,32.0,4.0
36,64.0,0.001,128.0,128.0,3.0
37,128.0,0.0001,32.0,32.0,6.0
38,64.0,0.01,512.0,512.0,4.0
39,32.0,0.001,128.0,128.0,6.0
40,32.0,0.0001,32.0,32.0,6.0
41,64.0,0.001,256.0,256.0,4.0
42,64.0,0.001,128.0,128.0,5.0
43,32.0,0.0001,256.0,256.0,6.0
44,64.0,0.01,128.0,128.0,3.0
45,32.0,0.001,128.0,128.0,6.0
46,64.0,0.01,32.0,32.0,4.0
47,128.0,0.001,256.0,256.0,6.0
48,128.0,0.001,64.0,64.0,6.0
49,128.0,0.01,32.0,32.0,2.0
